Name,Category,Address,Contact Name,Contact Email,Contact Phone Number,Creative Schools Certification,Network
Julia Ward Howe Elementary School of Excellence,Elementary School,"720 N Lorel Ave, Chicago, IL, 60644",Ronda Gordon,rgordon8@cps.edu,(773) 534-6060,Emerging,Network 3
Thomas Hoyne Elementary School,Elementary School,"8905 S Crandon Ave, Chicago, IL, 60617",Rachisha Williams,rmwilliams4@cps.edu,(773) 535-6425,Excelling,Network 12
Paul Cuffe Math-Science Technology Academy ES,Elementary School,"8324 S Racine Ave, Chicago, IL, 60620",Lashaun Rockett,LLRockett@cps.edu,(773) 535-8250,Emerging,Network 11
Countee Cullen Elementary School,Elementary School,"10650 S Eberhart Ave, Chicago, IL, 60628",Bud Bryant,BCBryant@cps.edu,(773) 535-5375,Emerging,Network 13
Charles Evans Hughes Elementary School,Elementary School,"4247 W 15th St, Chicago, IL, 60623",Yevette Killingsworth,yekillingsworth@cps.edu,(773) 534-1762,Emerging,Network 7
Edward N Hurley Elementary School,Elementary School,"3849 W 69th Pl, Chicago, IL, 60629",Jose Gutierrez,jlgutierrez@cps.edu,(312) 521-9198,Excelling,Network 10
Galileo Math & Science Scholastic Academy ES,Elementary School,"820 S Carpenter St, Chicago, IL, 60607",Kathleen Barnes,kmtyderek@cps.edu,(773) 534-7070,Strong,Network 6
Friedrich Ludwig Jahn Elementary School,Elementary School,"3149 N Wolcott Ave, Chicago, IL, 60657",Celeste Esquivel,cesquivel19@cps.edu,(773) 534-5500,Excelling,Network 4
Minnie Mars Jamieson Elementary School,Elementary School,"5650 N Mozart St, Chicago, IL, 60659",Gina Fulgieri,gfulgieri@cps.edu,(773) 534-2395,Strong,Network 2
Pilsen Elementary Community Academy,Elementary School,"1420 W 17th St, Chicago, IL, 60608",Rocio Urbano,rurbano@cps.edu,(773) 534-7675,Strong,Network 7
Joseph Jungman Elementary School,Elementary School,"1746 S Miller St, Chicago, IL, 60608",Jeanne Rivera,jmrivera1@cps.edu,(773) 534-7375,Excelling,ISP
Kate S Kellogg Elementary School,Elementary School,"9241 S Leavitt St, Chicago, IL, 60643",Rachel Bluff,rbuff@cps.edu,"",Strong,Network 10
Maria Saucedo Elementary Scholastic Academy,Elementary School,"2850 W 24th Blvd, Chicago, IL, 60623",Kiki Banilower,kbanilower@cps.edu,(773) 534-1770,Strong,Network 7
Joshua D Kershaw Elementary School,Elementary School,"6450 S Lowe Ave, Chicago, IL, 60621",Barbara Krantz,bjkrantz@cps.edu,(773) 535-3050,Strong,Network 11
Pablo Casals Elementary School,Elementary School,"3501 W Potomac Ave, Chicago, IL, 60651",Elizabeth Cornell,ehcornell@cps.edu,"",Developing,Network 5
Joyce Kilmer Elementary School,Elementary School,"6700 N Greenview Ave, Chicago, IL, 60626",Mirian Gastrock,mcvasquez@cps.edu,(773) 977-9346,Excelling,Network 2
Lazaro Cardenas Elementary School,Elementary School,"2345 S Millard Ave., Chicago, IL, 60623",Daniel Finley,dsfinley@cps.edu,"",Strong,ISP
John H Kinzie Elementary School,Elementary School,"5625 S Mobile Ave., Chicago, IL, 60638",Shannon Torres,sofarrell@cps.edu,(000) 000-0000,Strong,Network 10
Rudyard Kipling Elementary School,Elementary School,"9351 S Lowe Ave, Chicago, IL, 60620",Christine Wyatt,crwyatt@cps.edu,(773) 535-3151,Strong,Network 11
Rodolfo Lozano Bilingual & International Ctr ES,Elementary School,"1501 N Greenview Ave, Chicago, IL, 60642","",,"",Emerging,Network 6
Charles Kozminski Elementary Community Academy,Elementary School,"936 E 54th St, Chicago, IL, 60615",Nina Blakey,nblakey@cps.edu,(773) 535-0980,Developing,Network 9
Wendell E Green Elementary School,Elementary School,"1150 W 96th St, Chicago, IL, 60643",Latricia Tall,llbaker2@cps.edu,(773) 392-8341,Developing,Network 11
LaSalle Elementary Language Academy,Elementary School,"1734 N Orleans St, Chicago, IL, 60614",Chris Thomas,cwthomas@cps.edu,(773) 534-8470,Strong,Network 4
Lawndale Elementary Community Academy,Elementary School,"3500 W Douglas Blvd, Chicago, IL, 60623",Natasha Jones,nljones4@cps.edu,(773) 534-1635,Emerging,Network 5
Leslie Lewis Elementary School,Elementary School,"1431 N Leamington Ave, Chicago, IL, 60651","",,"",Emerging,Network 3
Arthur A Libby Elementary School,Elementary School,"5300 S Loomis Blvd, Chicago, IL, 60609","",,"",Emerging,Network 8
Abraham Lincoln Elementary School,Elementary School,"615 W Kemper Pl, Chicago, IL, 60614",Kathryn Moncton,kgmoncton@cps.edu,(773) 534-5720,Excelling,Network 4
Carl von Linne Elementary School,Elementary School,"3221 N Sacramento Ave, Chicago, IL, 60618",Art Helbig,AEHelbig@cps.edu,(773) 534-5262,Excelling,Network 4
Henry D Lloyd Elementary School,Elementary School,"2103 N Lamon Ave, Chicago, IL, 60639",Jasmine Kummer,jakummer@cps.edu,(773) 517-9898,Developing,Network 3
Josephine C Locke Elementary School,Elementary School,"2828 N Oak Park Ave, Chicago, IL, 60634",Jordin Herzog,jnhartwig@cps.edu,(773) 534-3300,Developing,Network 3
Joseph Lovett Elementary School,Elementary School,"6333 W Bloomingdale Ave, Chicago, IL, 60639",Deborah Knapp,drknapp@cps.edu,(773) 534-3130,Strong,Network 3
James Russell Lowell Elementary School,Elementary School,"3320 W Hirsch St, Chicago, IL, 60651",Carmen Rivera-Kurban,cmrivera-kurban@cps.edu,(773) 534-4300,Strong,Network 5
Mary Lyon Elementary School,Elementary School,"2941 N Mcvicker Ave, Chicago, IL, 60634",Tina Pearsall,tlpearsall@cps.edu,(773) 534-3120,Developing,Network 3
James Madison Elementary School,Elementary School,"7433 S Dorchester Ave, Chicago, IL, 60619",Stacy Whitsett,sdwhitsett@cps.edu,(773) 535-0551,Excelling,Network 12
George Manierre Elementary School,Elementary School,"1420 N Hudson Ave, Chicago, IL, 60610",Susan Spadoro,slspadoro@cps.edu,(773) 534-8456,Strong,Network 4
Northwest Middle School,Middle School,"5252 W Palmer St, Chicago, IL, 60639",Roxanne Piersanti,rldeluca@cps.edu,(708) 655-9169,Excelling,Network 3
Horace Mann Elementary School,Elementary School,"8050 S Chappel Ave, Chicago, IL, 60617",Tristan Brown,tbrown5@cps.edu,(773) 732-1940,Strong,Network 12
Marquette Elementary School,Elementary School,"6550 S Richmond St, Chicago, IL, 60629",Eric Mendenhall,emendenhall@cps.edu,(773) 583-6731,Developing,Network 10
John L Marsh Elementary School,Elementary School,"9822 S Exchange Ave, Chicago, IL, 60617",Christopher Davis,cmdavis2@cps.edu,(773) 991-2408,Strong,Network 13
Michael Faraday Elementary School,Elementary School,"3250 W Monroe St, Chicago, IL, 60624",Dawn Robinson,darobinson15@cps.edu,"",Emerging,Network 5
Roswell B Mason Elementary School,Elementary School,"4217 W 18th St, Chicago, IL, 60623",Tonya Tolbert,TYTolbert@cps.edu,(773) 534-1530,Strong,Network 7
Fairfield Elementary Academy,Elementary School,"6201 S Fairfield Ave, Chicago, IL, 60629",Nina Dorries,ndorries@cps.edu,(773) 535-9500,Developing,Network 10
Oscar F Mayer Elementary School,Elementary School,"2250 N Clifton Ave, Chicago, IL, 60614",Melissa Hooker,mchooker@cps.edu,(773) 575-7110,Excelling,Network 4
Chicago World Language Academy,Elementary School,"1340 W Harrison St, Chicago, IL, 60607",Britta Schlicht,blschlicht@cps.edu,(773) 534-7000,Strong,Network 6
Minnie Miñoso Academy,Elementary School,"3527 S Wallace St, Chicago, IL, 60609",Mary Schumann,mfschumann@cps.edu,(773) 535-1732,Excelling,Network 6
Cyrus H McCormick Elementary School,Elementary School,"2712 S Sawyer Ave, Chicago, IL, 60623",Kandace Weber,kkweber@cps.edu,"",Strong,Network 7
Emmett Louis Till Math & Science Academy,Elementary School,"6543 S Champlain Ave, Chicago, IL, 60637",Roderick Lewis,relewis1@cps.edu,(708) 769-9880,Excelling,Network 9
James E McDade Elementary Classical School,Elementary School,"8801 S Indiana Ave, Chicago, IL, 60619",Kathleen Darling,Kedarling@cps.edu,(773) 535-3669,Strong,Network 12
Francis M McKay Elementary School,Elementary School,"6901 S Fairfield Ave, Chicago, IL, 60629",Darryl Winn,DMWinn@cps.edu,(773) 535-9340,Strong,Network 10
Hanson Park Elementary School,Elementary School,"5411 W Fullerton Ave, Chicago, IL, 60639",Elizabeth Schneider,EASchneider@cps.edu,(773) 534-3100,Developing,Network 3
James B McPherson Elementary School,Elementary School,"4728 N Wolcott Ave, Chicago, IL, 60640",Marianne Turk,mturk@cps.edu,(773) 534-2625,Developing,Network 2
Ellen Mitchell Elementary School,Elementary School,"2233 W Ohio St, Chicago, IL, 60612",Anne Grimm,adbell7@cps.edu,(773) 534-7655,Strong,ISP
Logan Square Elementary School (formerly Monroe Elementary),Elementary School,"3651 W Schubert Ave, Chicago, IL, 60647",Karla Pantaleon,kpantaleon1@cps.edu,"",Strong,Network 4
Bernhard Moos Elementary School,Elementary School,"1711 N California Ave, Chicago, IL, 60647",Tiffany Frayer,tfrayer@cps.edu,(773) 343-8746,Excelling,Network 5
Donald Morrill Math & Science Elementary School,Elementary School,"6011 S Rockwell St, Chicago, IL, 60629",Alexandra Renteria-Covington,arenteria@cps.edu,(773) 535-9288,Strong,Network 10
Inter-American Elementary Magnet School,Elementary School,"851 W Waveland Ave, Chicago, IL, 60613",Alex Mendez,amendez43@cps.edu,"",Strong,Network 4
Mark Sheridan Elementary Math & Science Academy,Elementary School,"533 W 27th St, Chicago, IL, 60616",Dorothy Glodo,DMGlodo@cps.edu,(708) 927-2367,Developing,Network 6
Mount Greenwood Elementary School,Elementary School,"10841 S Homan Ave, Chicago, IL, 60655",Lola Dunn OBrien,lsdunn-obrien@cps.edu,(773) 535-2786,Excelling,ISP
Daniel C Beard Elementary School,Elementary School,"6445 W Strong St, Chicago, IL, 60656",Sarah Didricksen,sjbanting@cps.edu,(773) 534-1228,Excelling,Network 1
Annie Keller Elementary Gifted Magnet School,Elementary School,"3020 W 108th St, Chicago, IL, 60655",Amy Kintner,ajkintner@cps.edu,(773) 535-2636,Strong,Network 10
Mount Vernon Elementary School,Elementary School,"10540 S Morgan St, Chicago, IL, 60643",Yolanda Pender-Bey,ypender-bey@cps.edu,(773) 552-5717,Emerging,Network 13
Blair Early Childhood Center,Elementary School,"6751 W 63rd Pl, Chicago, IL, 60638",Therese Schuld,tmschuld@cps.edu,(708) 227-1163,Excelling,Network 10
Wolfgang A Mozart Elementary School,Elementary School,"2200 N Hamlin Ave, Chicago, IL, 60647",Andrew Gonzalez,aagonzalez54@cps.edu,(773) 459-6247,Excelling,Network 4
John B Murphy Elementary School,Elementary School,"3539 W Grace St, Chicago, IL, 60618","",,"",Excelling,Network 1
Phillip Murray Elementary Language Academy,Elementary School,"5335 S Kenwood Ave, Chicago, IL, 60615",Duone Brown,DBrown10@cps.edu,"",Excelling,Network 9
Ronald Brown Elementary Community Academy,Elementary School,"12607 S Union Ave, Chicago, IL, 60628",Steven Askew,SDAskew@cps.edu,(773) 535-5385,Emerging,Network 13
Henry H Nash Elementary School,Elementary School,"4837 W Erie St, Chicago, IL, 60644",Hailey Rodden,harodden@cps.edu,(773) 534-6125,Excelling,Network 3
Jane A Neil Elementary School,Elementary School,"8555 S Michigan Ave, Chicago, IL, 60619",Aaron Wilcox,ajwilcox@cps.edu,(773) 535-3000,Excelling,Network 12
Louis Nettelhorst Elementary School,Elementary School,"3252 N Broadway St, Chicago, IL, 60657",Chad Kimmel,cmkimmel@cps.edu,(773) 534-5810,Excelling,Network 4
Walter L Newberry Math & Science Academy ES,Elementary School,"700 W Willow St, Chicago, IL, 60614",Jose Feliciano,jmfeliciano@cps.edu,(773) 534-8000,Developing,Network 4
Florence Nightingale Elementary School,Elementary School,"5250 S Rockwell St, Chicago, IL, 60632",Ricardo Serment,rxserment@cps.edu,(708) 539-0721,Developing,Network 8
William P Nixon Elementary School,Elementary School,"2121 N Keeler Ave, Chicago, IL, 60639",Alicia Brown,ambrown52@cps.edu,(773) 534-4375,Excelling,Network 4
Alfred Nobel Elementary School,Elementary School,"4127 W Hirsch St, Chicago, IL, 60651",Crisol Gracia,cgracia@cps.edu,(773) 534-4365,Strong,ISP
Norwood Park Elementary School,Elementary School,"5900 N Nina Ave, Chicago, IL, 60631",Jesus Bonilla,jtbonilla@cps.edu,(773) 534-1198,Strong,Network 1
West Park Elementary Academy,Elementary School,"1425 N Tripp Ave, Chicago, IL, 60651",Laura Povsner,lepovsner@cps.edu,(773) 720-8538,Excelling,Network 5
William B Ogden Elementary School,Elementary School,"24 W Walton St, Chicago, IL, 60610",Lisa Macri,ltmacri@cps.edu,(773) 534-8110,Strong,Network 15
Richard J Oglesby Elementary School,Elementary School,"7646 S Green St, Chicago, IL, 60620","",,"",Strong,Network 11
Isabelle C O'Keeffe Elementary School,Elementary School,"6940 S Merrill Ave., Chicago, IL, 60649",M'Rald Calhoun,mcalhoun2@cps.edu,(630) 710-9643,Strong,Network 12
William J Onahan Elementary School,Elementary School,"6634 W Raven St, Chicago, IL, 60631",Garrett Leo Augustyn,glaugustyn1@cps.edu,(773) 534-1180,Strong,Network 1
Oriole Park Elementary School,Elementary School,"5424 N Oketo Ave, Chicago, IL, 60656",Ryne Jody Zarate,rszarate@cps.edu,"",Strong,Network 1
Brian Piccolo Elementary Specialty School,Elementary School,"1040 N Keeler Ave, Chicago, IL, 60651",Larissa Thomas,lkowal1@cps.edu,(847) 571-4265,Excelling,Network 5
James Otis Elementary School,Elementary School,"525 N Armour St, Chicago, IL, 60642",Deborah Ratulowski,djwinslow@cps.edu,(773) 534-7665,Excelling,Network 6
Luke O'Toole Elementary School,Elementary School,"6550 S Seeley Ave, Chicago, IL, 60636",Jacqueline Travis,jtravis10@cps.edu,(773) 535-9040,Emerging,Network 11
William Bishop Owen Scholastic Academy ES,Elementary School,"8247 S Christiana Ave, Chicago, IL, 60652",Zanneta Kubajak,zkubajak@cps.edu,"",Excelling,Network 10
Ida B Wells Preparatory Elementary Academy,Elementary School,"249 E 37th St, Chicago, IL, 60653",Vincent Izuegbu,veizuegbu@cps.edu,"",Emerging,Network 9
John Palmer Elementary School,Elementary School,"5051 N Kenneth Ave, Chicago, IL, 60630",Julia Bonatz,jmbonatz@cps.edu,"",Excelling,ISP
Francis W Parker Elementary Community Academy,Elementary School,"6800 S Stewart Ave, Chicago, IL, 60621",Lekisch Williams,lmwilliams31@cps.edu,(773) 535-3375,Developing,Network 11
Park Manor Elementary School,Elementary School,"7037 S Rhodes Ave, Chicago, IL, 60637",Lorita Purnell-James,lapurnell-james@cps.edu,(312) 618-5432,Emerging,Network 12
Parkside Elementary Community Academy,Elementary School,"6938 S East End Ave, Chicago, IL, 60649",Teri Robinson,Trobinson115@cps.edu,(773) 535-0940,Strong,Network 12
Louis Pasteur Elementary School,Elementary School,"5825 S Kostner Ave, Chicago, IL, 60629",Arturo Barrera,abarrera@cps.edu,(773) 535-2270,Strong,Network 8
Ferdinand Peck Elementary School,Elementary School,"3826 W 58th St, Chicago, IL, 60629",Samuel Motta,smotta@cps.edu,(773) 535-2450,Strong,ISP
Washington Irving Elementary School,Elementary School,"749 S Oakley Blvd, Chicago, IL, 60612",Richanda Owens,rtowens@cps.edu,"",Strong,Network 6
Helen Peirce International Studies ES,Elementary School,"1423 W Bryn Mawr Ave, Chicago, IL, 60660",Marissa Moritz,mamoritz@cps.edu,(773) 534-2440,Excelling,Network 2
William Penn Elementary School,Elementary School,"1616 S Avers Ave, Chicago, IL, 60623",Norma Redmond,Njredmond@cps.edu,(773) 744-6567,Incomplete Data,Network 7
Harold Washington Elementary School,Elementary School,"9130 S University Ave, Chicago, IL, 60619",Dean Thornton,dmthornton@cps.edu,(773) 535-6225,Strong,Network 12
Irma C Ruiz Elementary School,Elementary School,"2410 S Leavitt St, Chicago, IL, 60608",Kathryn Jochaniewicz,Kfjochaniewicz@cps.edu,"",Strong,Network 7
John J Pershing Elementary Humanities Magnet,Elementary School,"3200 S Calumet Ave, Chicago, IL, 60616",Ryan Karey,rakarey@cps.edu,(312) 405-9188,Strong,Network 9
Mary Gage Peterson Elementary School,Elementary School,"5510 N Christiana Ave, Chicago, IL, 60625",Erik Juhl,ejuhl@cps.edu,(773) 534-5070,Excelling,Network 1
Marcus Moziah Garvey Elementary School,Elementary School,"10309 S Morgan St, Chicago, IL, 60643",Shanita Washington,smwashington16@cps.edu,"",Developing,Network 13
Josiah Pickard Elementary School,Elementary School,"2301 W 21st Pl, Chicago, IL, 60608",Stephen Bennett,ssbennett1@cps.edu,(312) 622-4447,Developing,Network 7
John T Pirie Fine Arts & Academic Center ES,Elementary School,"650 E 85th St, Chicago, IL, 60619",Robin DaSilva,rkdasilva@cps.edu,(773) 535-3435,Excelling,Network 12
Ambrose Plamondon Elementary School,Elementary School,"2642 W 15th Pl, Chicago, IL, 60608",Lauren Griffin,Lggriffin@cps.edu,(773) 957-4184,Developing,ISP
Edgar Allan Poe Elementary Classical School,Elementary School,"10538 S Langley Ave, Chicago, IL, 60628",Alicia Jean,arjean@cps.edu,(773) 535-5525,Excelling,Network 13
Laura S Ward Elementary School,Elementary School,"646 N Lawndale Ave, Chicago, IL, 60624",Emma Kuehl,ekuehl1@cps.edu,"",Developing,Network 5
Portage Park Elementary School,Elementary School,"5330 W Berteau Ave, Chicago, IL, 60641",Alex Whitman,awhitman@cps.edu,(815) 761-6176,Excelling,Network 1
William H Prescott Elementary School,Elementary School,"1632 W Wrightwood Ave, Chicago, IL, 60614",Beth Ammons,eaammons@cps.edu,(617) 319-4820,Excelling,Network 4
Ernst Prussing Elementary School,Elementary School,"4650 N Menard Ave, Chicago, IL, 60630",Nikki Woloshyn,nwoloshyn@cps.edu,(773) 534-3460,Strong,Network 1
Pulaski International School of Chicago,Elementary School,"2230 W Mclean Ave, Chicago, IL, 60647",Jillian Swinford,jrswinford1@cps.edu,(217) 721-9876,Strong,Network 6
George M Pullman Elementary School,Elementary School,"11311 S Forrestville Ave., Chicago, IL, 60628",Priscilla Chico,pmchico@cps.edu,(773) 679-1429,Developing,Network 13
Ravenswood Elementary School,Elementary School,"4332 N Paulina St, Chicago, IL, 60613",Jeremy Guidry,jjguidry@cps.edu,(224) 678-5157,Excelling,Network 2
William H Ray Elementary School,Elementary School,"5631 S Kimbark Ave, Chicago, IL, 60637",Sara Katzenbach,scmackus@cps.edu,"",Excelling,Network 9
William C Reavis Math & Science Specialty ES,Elementary School,"834 E 50th St, Chicago, IL, 60615",Goran Mikic,gmikic@cps.edu,(312) 799-1201,Excelling,Network 9
Frank W Reilly Elementary School,Elementary School,"3650 W School St, Chicago, IL, 60618",Emily Pineda,ejmannakee@cps.edu,(773) 534-5250,Strong,Network 4
Peter A Reinberg Elementary School,Elementary School,"3425 N Major Ave, Chicago, IL, 60634",Stephen Twardowski,srtwardowski@cps.edu,(773) 458-0258,Strong,Network 1
Paul Revere Elementary School,Elementary School,"1010 E 72nd St, Chicago, IL, 60619","",,"",Strong,Network 12
Philip Rogers Elementary School,Elementary School,"7345 N Washtenaw Ave, Chicago, IL, 60645",Corrine Creswell,ccreswell@cps.edu,(773) 534-2125,Excelling,Network 2
Cesar E Chavez Multicultural Academic Center ES,Elementary School,"4747 S Marshfield Ave, Chicago, IL, 60609",Tara Saunders,tesaunders@cps.edu,(815) 861-0687,Strong,ISP
Martha Ruggles Elementary School,Elementary School,"7831 S Prairie Ave, Chicago, IL, 60619",Crystal Moss,cmoss@cps.edu,"",Excelling,Network 12
William H Ryder Math & Science Specialty ES,Elementary School,"8716 S Wallace St, Chicago, IL, 60620",Keishonda Simms,kmsimms@cps.edu,(773) 535-3843,Strong,Network 11
Sauganash Elementary School,Elementary School,"6040 N Kilpatrick Ave., Chicago, IL, 60646",Christine Munns,cdmunns@cps.edu,(773) 841-6476,Excelling,Network 1
Sidney Sawyer Elementary School,Elementary School,"5248 S Sawyer Ave, Chicago, IL, 60632",Roberto Ruiz,rruiz48@cps.edu,(000) 000-0000,Emerging,Network 8
Harriet E Sayre Elementary Language Academy,Elementary School,"1850 N Newland Ave, Chicago, IL, 60707",Sam Frosch,safrosch@cps.edu,"",Strong,Network 3
Jonathan Y Scammon Elementary School,Elementary School,"4201 W Henderson St, Chicago, IL, 60641",Dmitri Snyder,ddsnyder@cps.edu,(773) 534-3475,Developing,Network 1
Frederick Stock Elementary School,Elementary School,"7507 W Birchwood Ave, Chicago, IL, 60631",Ann McNally,almcnally@cps.edu,(312) 919-7688,Incomplete Data,Network 1
Franz Peter Schubert Elementary School,Elementary School,"2727 N Long Ave, Chicago, IL, 60639",Maria Kline,MVKline1@cps.edu,(773) 534-3080,Excelling,Network 3
William H Seward Communication Arts Academy ES,Elementary School,"4600 S Hermitage Ave, Chicago, IL, 60609",Stephany Jimenez,sjimenez55@cps.edu,(708) 212-7765,Excelling,Network 8
Columbia Explorers Elementary Academy,Elementary School,"4520 S Kedzie Ave, Chicago, IL, 60632",Beth West,Bborsch@cps.edu,(773) 535-4050,Strong,ISP
Arnold Mireles Elementary Academy,Elementary School,"9000 S Exchange Ave, Chicago, IL, 60617",Yocelin Perez,ycintron1@cps.edu,(773) 535-6360,Strong,Network 12
William T Sherman Elementary School,Elementary School,"1000 W 52nd St, Chicago, IL, 60609",Charles Dubose,cdubose1@cps.edu,(773) 535-1757,Strong,Network 8
Jesse Sherwood Elementary School,Elementary School,"245 W 57th St, Chicago, IL, 60621",Sarah Kendrick,sgkendrick@cps.edu,(773) 535-0829,Excelling,ISP
James Shields Elementary School,Elementary School,"4250 S Rockwell St, Chicago, IL, 60632",Michelle Flores,msflores2@cps.edu,(773) 535-7286,Excelling,Network 8
Beulah Shoesmith Elementary School,Elementary School,"1330 E 50th St, Chicago, IL, 60615",Jennifer Peterson Teckchandani,jepeterson2@cps.edu,(773) 535-1764,Strong,Network 9
John D Shoop Math-Science Technical Academy ES,Elementary School,"11140 S Bishop St, Chicago, IL, 60643",Lyshonn Carr Johnson,lcarr1@cps.edu,(773) 535-2715,Strong,Network 13
Mark Skinner Elementary School,Elementary School,"1260 W Adams St, Chicago, IL, 60607",Laura Florczak,ljflorczak@cps.edu,"",Strong,Network 6
Theophilus Schmid Elementary School,Elementary School,"9755 S Greenwood Ave, Chicago, IL, 60628",Cha'Ron Bradley,CABradley@cps.edu,(773) 535-6235,Excelling,Network 12
Washington D Smyser Elementary School,Elementary School,"4310 N Melvina Ave, Chicago, IL, 60634",Kowa Treering,katreering@cps.edu,(773) 534-3711,Excelling,Network 1
John M Smyth Elementary School,Elementary School,"1059 W 13th St, Chicago, IL, 60608",John Houlihan,jahoulihan2@cps.edu,(773) 534-7180,Developing,Network 6
Hannah G Solomon Elementary School,Elementary School,"6206 N Hamlin Ave, Chicago, IL, 60659",Heidi Stirling,hjstirling@cps.edu,(773) 534-5226,Excelling,Network 1
Spencer Technology Academy,Elementary School,"214 N Lavergne Ave, Chicago, IL, 60644",Geri Panol,glpanol@cps.edu,"",Strong,Network 3
John Spry Elementary Community School,Elementary School,"2400 S Marshall Blvd, Chicago, IL, 60623",Vanessa Viruet,vlviruet@cps.edu,(773) 534-1700,Strong,Network 16
Adlai E Stevenson Elementary School,Elementary School,"8010 S Kostner Ave, Chicago, IL, 60652",Christina Brown,clbrown10@cps.edu,(773) 535-2280,Developing,Network 10
Dunne Technology Academy,Elementary School,"10845 S Union Ave, Chicago, IL, 60628",Zameya Pruitt,Zpruitt1@cps.edu,(773) 535-5517,Strong,Network 13
Stone Elementary Scholastic Academy,Elementary School,"6239 N Leavitt St, Chicago, IL, 60659",Elizabeth Raduly,elraduly@cps.edu,(773) 534-2045,Excelling,Network 2
Harriet Beecher Stowe Elementary School,Elementary School,"3444 W Wabansia Ave, Chicago, IL, 60647",Tiffani Kuhn,tlkuhn@cps.edu,(773) 534-4175,Excelling,Network 5
William K New Sullivan Elementary School,Elementary School,"8331 S Mackinaw Ave, Chicago, IL, 60617",Tracy Netter,tmnetter@cps.edu,(773) 535-6585,Strong,Network 12
Charles Sumner  Math & Science Community Acad ES,Elementary School,"4320 W 5th Ave, Chicago, IL, 60624",Margaret Domian,mmdomian@cps.edu,(773) 415-1173,Excelling,Network 5
Elizabeth H Sutherland Elementary School,Elementary School,"10015 S Leavitt St, Chicago, IL, 60643",Wendie Bloxsom,wabloxsom@cps.edu,(773) 535-2580,Developing,Network 10
George B Swift Elementary Specialty School,Elementary School,"5900 N Winthrop Ave, Chicago, IL, 60660",Hoyun Richter,Hrichter@cps.edu,(773) 534-2695,Excelling,Network 2
Mancel Talcott Elementary School,Elementary School,"1840 W Ohio St, Chicago, IL, 60622",Pamela Swope,plrexius@cps.edu,(248) 310-1341,Excelling,Network 6
Douglas Taylor Elementary School,Elementary School,"9912 S Avenue H, Chicago, IL, 60617",Andre Porter,arporter@cps.edu,(773) 535-6240,Excelling,Network 13
Johnnie Colemon Elementary Academy,Elementary School,"1441 W 119th St, Chicago, IL, 60643",Curtis Johnson,cljohnson4@cps.edu,(773) 535-3975,Excelling,Network 13
James N Thorp Elementary School,Elementary School,"8914 S Buffalo Ave, Chicago, IL, 60617",Julie Kortz,jckortz@cps.edu,(773) 535-6250,Developing,Network 12
Ole A Thorp Elementary Scholastic Academy,Elementary School,"6024 W Warwick Ave, Chicago, IL, 60634","",,"",Strong,ISP
George W Tilton Elementary School,Elementary School,"223 N Keeler Ave, Chicago, IL, 60624",Suriya Mohammed,smohammed@cps.edu,(773) 391-9284,Strong,Network 5
Monarcas Academy,Elementary School,"5815 S Homan Ave, Chicago, IL, 60629",Michael Magada,mfmagada@cps.edu,(773) 535-9280,Strong,Network 8
Mark Twain Elementary School,Elementary School,"5134 S Lotus Ave, Chicago, IL, 60638",Rebecca Partyka,raweisenritter@cps.edu,(773) 535-2290,Strong,Network 10
John H Vanderpoel Elementary Magnet School,Elementary School,"9510 S Prospect Ave, Chicago, IL, 60643",Kimberly Donson,kcox-gray@cps.edu,"",Strong,Network 10
Mildred I Lavizzo Elementary School,Elementary School,"138 W 109th St, Chicago, IL, 60628",Phillip Clay,pwclay@cps.edu,(773) 715-1515,Excelling,Network 13
Alessandro Volta Elementary School,Elementary School,"4950 N Avers Ave, Chicago, IL, 60625",Pegeen McGhan,pamcghan@cps.edu,(773) 534-5080,Strong,Network 1
Albany Park Multicultural Academy,Middle School,"4929 N Sawyer Ave, Chicago, IL, 60625",Kevin Dill,kdill@cps.edu,"",Excelling,Network 1
James Wadsworth Elementary School,Elementary School,"6650 S Ellis Ave, Chicago, IL, 60637",Shakia Harrington,svharrington@cps.edu,(773) 535-0730,Developing,Network 9
Francisco I Madero Middle School,Middle School,"3202 W 28th St, Chicago, IL, 60623",Rita Marquez,rmarquez2@cps.edu,(773) 535-4466,Excelling,Network 7
John A Walsh Elementary School,Elementary School,"2015 S Peoria St, Chicago, IL, 60608",Daniel Gomez,dgomez1@cps.edu,(773) 534-7950,Excelling,Network 7
James Ward Elementary School,Elementary School,"2701 S Shields Ave, Chicago, IL, 60616","",,"",Excelling,Network 6
Joseph Warren Elementary School,Elementary School,"9239 S Jeffery Ave, Chicago, IL, 60617",Shani Boone,saboone@cps.edu,(773) 535-6625,Developing,Network 12
George Washington Elementary School,Elementary School,"3611 E 114th St, Chicago, IL, 60617",Alexandra Stasik,AGRivera@cps.edu,(773) 703-2252,Strong,Network 13
Thomas J Waters Elementary School,Elementary School,"4540 N Campbell Ave, Chicago, IL, 60625",Amy Vecchioni,alvecchioni@cps.edu,(773) 534-5090,Excelling,Network 2
Daniel Webster Elementary School,Elementary School,"4055 W Arthington St, Chicago, IL, 60624",Krissandra Taylor-Walker,kdtaylor@cps.edu,"",Strong,Network 5
Daniel S Wentworth Elementary School,Elementary School,"1340 W 71st St, Chicago, IL, 60636",Talisa Martin,tlmartin@cps.edu,(773) 563-3084,Emerging,Network 11
